date,year,month,day,week,year_week
2020-05-26,2020,5,26,22,202022
2020-05-27,2020,5,27,22,202022
2020-05-28,2020,5,28,22,202022
2020-05-29,2020,5,29,22,202022
2020-05-30,2020,5,30,22,202022
2020-05-31,2020,5,31,22,202022
2020-06-01,2020,6,1,23,202023
2020-06-02,2020,6,2,23,202023
2020-06-03,2020,6,3,23,202023
2020-06-04,2020,6,4,23,202023
2020-06-05,2020,6,5,23,202023
2020-06-06,2020,6,6,23,202023
2020-06-07,2020,6,7,23,202023
2020-06-08,2020,6,8,24,202024
2020-06-09,2020,6,9,24,202024
2020-06-10,2020,6,10,24,202024
2020-06-11,2020,6,11,24,202024
2020-06-12,2020,6,12,24,202024
2020-06-13,2020,6,13,24,202024
2020-06-14,2020,6,14,24,202024
2020-06-15,2020,6,15,25,202025
2020-06-16,2020,6,16,25,202025
2020-06-17,2020,6,17,25,202025
2020-06-18,2020,6,18,25,202025
2020-06-19,2020,6,19,25,202025
2020-06-20,2020,6,20,25,202025
2020-06-21,2020,6,21,25,202025
2020-06-22,2020,6,22,26,202026
2020-06-23,2020,6,23,26,202026
2020-06-24,2020,6,24,26,202026
2020-06-25,2020,6,25,26,202026
2020-06-26,2020,6,26,26,202026
2020-06-27,2020,6,27,26,202026
2020-06-28,2020,6,28,26,202026
2020-06-29,2020,6,29,27,202027
2020-06-30,2020,6,30,27,202027
2020-07-01,2020,7,1,27,202027
2020-07-02,2020,7,2,27,202027
2020-07-03,2020,7,3,27,202027
2020-07-04,2020,7,4,27,202027
2020-07-05,2020,7,5,27,202027
2020-07-06,2020,7,6,28,202028
2020-07-07,2020,7,7,28,202028
2020-07-08,2020,7,8,28,202028
2020-07-09,2020,7,9,28,202028
2020-07-10,2020,7,10,28,202028
2020-07-11,2020,7,11,28,202028
2020-07-12,2020,7,12,28,202028
2020-07-13,2020,7,13,29,202029
2020-07-14,2020,7,14,29,202029
2020-07-15,2020,7,15,29,202029
2020-07-16,2020,7,16,29,202029
2020-07-17,2020,7,17,29,202029
2020-07-18,2020,7,18,29,202029
2020-07-19,2020,7,19,29,202029
2020-07-20,2020,7,20,30,202030
2020-07-21,2020,7,21,30,202030
2020-07-22,2020,7,22,30,202030
2020-07-23,2020,7,23,30,202030
2020-07-24,2020,7,24,30,202030
2020-07-25,2020,7,25,30,202030
2020-07-26,2020,7,26,30,202030
2020-07-27,2020,7,27,31,202031
2020-07-28,2020,7,28,31,202031
2020-07-29,2020,7,29,31,202031
2020-07-30,2020,7,30,31,202031
2020-07-31,2020,7,31,31,202031
2020-08-01,2020,8,1,31,202031
2020-08-02,2020,8,2,31,202031
2020-08-03,2020,8,3,32,202032
2020-08-04,2020,8,4,32,202032
2020-08-05,2020,8,5,32,202032
2020-08-06,2020,8,6,32,202032
2020-08-07,2020,8,7,32,202032
2020-08-08,2020,8,8,32,202032
2020-08-09,2020,8,9,32,202032
2020-08-10,2020,8,10,33,202033
2020-08-11,2020,8,11,33,202033
2020-08-12,2020,8,12,33,202033
2020-08-13,2020,8,13,33,202033
2020-08-14,2020,8,14,33,202033
2020-08-15,2020,8,15,33,202033
2020-08-16,2020,8,16,33,202033
2020-08-17,2020,8,17,34,202034
2020-08-18,2020,8,18,34,202034
2020-08-19,2020,8,19,34,202034
2020-08-20,2020,8,20,34,202034
2020-08-21,2020,8,21,34,202034
2020-08-22,2020,8,22,34,202034
2020-08-23,2020,8,23,34,202034
2020-08-24,2020,8,24,35,202035
2020-08-25,2020,8,25,35,202035
2020-08-26,2020,8,26,35,202035
2020-08-27,2020,8,27,35,202035
2020-08-28,2020,8,28,35,202035
2020-08-29,2020,8,29,35,202035
2020-08-30,2020,8,30,35,202035
2020-08-31,2020,8,31,36,202036
2020-09-01,2020,9,1,36,202036
2020-09-02,2020,9,2,36,202036
2020-09-03,2020,9,3,36,202036
2020-09-04,2020,9,4,36,202036
2020-09-05,2020,9,5,36,202036
2020-09-06,2020,9,6,36,202036
2020-09-07,2020,9,7,37,202037
2020-09-08,2020,9,8,37,202037
2020-09-09,2020,9,9,37,202037
2020-09-10,2020,9,10,37,202037
2020-09-11,2020,9,11,37,202037
2020-09-12,2020,9,12,37,202037
2020-09-13,2020,9,13,37,202037
2020-09-14,2020,9,14,38,202038
2020-09-15,2020,9,15,38,202038
2020-09-16,2020,9,16,38,202038
2020-09-17,2020,9,17,38,202038
2020-09-18,2020,9,18,38,202038
2020-09-19,2020,9,19,38,202038
2020-09-20,2020,9,20,38,202038
2020-09-21,2020,9,21,39,202039
2020-09-22,2020,9,22,39,202039
2020-09-23,2020,9,23,39,202039
2020-09-24,2020,9,24,39,202039
2020-09-25,2020,9,25,39,202039
2020-09-26,2020,9,26,39,202039
2020-09-27,2020,9,27,39,202039
2020-09-28,2020,9,28,40,202040
2020-09-29,2020,9,29,40,202040
2020-09-30,2020,9,30,40,202040
2020-10-01,2020,10,1,40,202040
2020-10-02,2020,10,2,40,202040
2020-10-03,2020,10,3,40,202040
2020-10-04,2020,10,4,40,202040
2020-10-05,2020,10,5,41,202041
2020-10-06,2020,10,6,41,202041
2020-10-07,2020,10,7,41,202041
2020-10-08,2020,10,8,41,202041
2020-10-09,2020,10,9,41,202041
2020-10-10,2020,10,10,41,202041
2020-10-11,2020,10,11,41,202041
2020-10-12,2020,10,12,42,202042
2020-10-13,2020,10,13,42,202042
2020-10-14,2020,10,14,42,202042
2020-10-15,2020,10,15,42,202042
2020-10-16,2020,10,16,42,202042
