year_month,quantidade_autos,cumulative_tickets
202111,49,176273
202111,58,176331
202111,101,176432
202111,124,176556
202111,157,176713
202111,257,176970
202111,193,177163
202111,195,177358
202111,1,177359
202111,6,177365
202111,2093,179458
202111,171,179629
202111,64,179693
202111,190,179883
202111,724,180607
202111,169,180776
202111,57,180833
202111,256,181089
202111,94,181183
202111,5,181188
202111,4392,185580
202111,1,185581
202111,4,185585
202111,1,185586
202111,46,185632
202111,201,185833
202111,292,186125
202112,197,186322
202112,149,186471
202112,176,186647
202112,160,186807
202112,232,187039
202112,609,187648
202112,5,187653
202112,1,187654
202112,851,188505
202112,1,188506
202112,72,188578
202112,1,188579
202112,149,188728
202112,380,189108
202112,49,189157
202112,330,189487
202112,124,189611
202112,1,189612
202112,136,189748
202112,272,190020
202112,31,190051
202112,23,190074
202112,711,190785
202112,441,191226
202112,103,191329
202112,151,191480
202112,77,191557
202112,194,191751
202112,1,191752
202112,1,191753
202112,1,191754
202112,205,191959
202112,177,192136
202112,1,192137
202112,112,192249
202112,320,192569
202112,374,192943
202112,3099,196042
202112,637,196679
202112,1021,197700
202112,4,197704
202112,131,197835
202112,192,198027
202201,96,198123
202201,22,198145
202201,10,198155
202201,136,198291
202201,2,198293
202201,26,198319
202201,1,198320
202201,678,198998
202201,159,199157
202201,221,199378
202201,224,199602
202201,99,199701
202201,330,200031
202201,748,200779
202201,236,201015
202201,238,201253
202201,29,201282
202201,7,201289
202201,25,201314
202201,803,202117
202201,172,202289
202201,3,202292
202201,103,202395
202201,353,202748
202201,372,203120
202201,44,203164
202201,754,203918
202201,136,204054
202201,126,204180
202201,353,204533
202201,459,204992
202201,677,205669
202201,1,205670
202201,51,205721
202201,899,206620
202201,71,206691
202201,2022,208713
202201,4,208717
202202,60,208777
202202,2,208779
202202,2,208781
202202,617,209398
202202,787,210185
202202,415,210600
202202,126,210726
202202,1600,212326
202202,3163,215489
202202,463,215952
202202,459,216411
202202,292,216703
202202,51,216754
202202,434,217188
202202,63,217251
202202,799,218050
202202,12,218062
202202,2,218064
202202,364,218428
202202,96,218524
202202,319,218843
202202,75,218918
202202,770,219688
202202,241,219929
202202,222,220151
202202,135,220286
202202,296,220582
202202,189,220771
202202,112,220883
202202,2939,223822
202202,840,224662
202202,1,224663
202202,5,224668
202202,2,224670
202203,3,224673
202203,135,224808
202203,2,224810
202203,154,224964
202203,2305,227269
202203,2435,229704
202203,1,229705
202203,4,229709
202203,264,229973
202203,986,230959
202203,155,231114
202203,607,231721
202203,337,232058
202203,840,232898
202203,442,233340
202203,2,233342
202203,78,233420
202203,128,233548
202203,67,233615
202203,13,233628
202203,1436,235064
202203,1568,236632
202203,352,236984
202203,414,237398
202203,438,237836
202203,108,237944
202203,1206,239150
202203,351,239501
202203,90,239591
202203,80,239671
202203,1,239672
202203,3,239675
202203,1,239676
202203,290,239966
202203,1029,240995
202203,65,241060
202203,502,241562
202203,22,241584
202204,2902,244486
202204,1626,246112
202204,1,246113
202204,283,246396
202204,835,247231
202204,629,247860
202204,281,248141
202204,123,248264
202204,101,248365
202204,1224,249589
202204,2,249591
202204,92,249683
202204,92,249775
202204,78,249853
202204,300,250153
202204,414,250567
202204,10,250577
202204,241,250818
202204,36,250854
202204,1,250855
202204,4,250859
202204,3,250862
202204,3804,254666
202204,84,254750
202204,223,254973
202204,51,255024
202204,905,255929
202204,180,256109
202204,246,256355
202204,452,256807
202204,44,256851
202204,87,256938
202204,258,257196
202204,68,257264
202204,10,257274
202204,1249,258523
202204,1,258524
202204,1,258525
202204,453,258978
202205,2,258980
202205,1206,260186
202205,1416,261602
202205,160,261762
202205,69,261831
202205,434,262265
202205,912,263177
202205,349,263526
202205,2,263528
202205,1,263529
202205,246,263775
202205,356,264131
202205,270,264401
202205,899,265300
202205,89,265389
202205,420,265809
202205,214,266023
202205,90,266113
202205,137,266250
202205,470,266720
202205,4,266724
202205,8,266732
202205,790,267522
202205,4343,271865
202205,5,271870
202205,770,272640
202205,204,272844
202205,13,272857
202205,586,273443
202205,135,273578
202205,171,273749
202205,96,273845
202205,190,274035
202205,2168,276203
202205,237,276440
202205,296,276736
202206,4,276740
202206,1,276741
202206,3,276744
202206,2,276746
202206,1,276747
202206,201,276948
202206,1139,278087
202206,5,278092
202206,472,278564
202206,97,278661
202206,332,278993
202206,144,279137
202206,125,279262
202206,803,280065
202206,382,280447
202206,259,280706
202206,1164,281870
202206,1,281871
202206,193,282064
202206,97,282161
202206,52,282213
202206,2191,284404
202206,2,284406
202206,1,284407
202206,4,284411
202206,4,284415
202206,3,284418
202206,167,284585
202206,2,284587
202206,2,284589
202206,232,284821
202206,262,285083
202206,579,285662
202206,163,285825
202206,792,286617
202206,463,287080
202206,174,287254
202206,260,287514
202206,1544,289058
202206,210,289268
202206,752,290020
202206,618,290638
202206,544,291182
202206,5,291187
202206,1,291188
202207,33,291221
202207,320,291541
202207,959,292500
202207,210,292710
202207,2,292712
202207,8,292720
202207,3565,296285
202207,10,296295
202207,131,296426
202207,125,296551
202207,178,296729
202207,106,296835
202207,1,296836
202207,1,296837
202207,60,296897
202207,121,297018
202207,316,297334
202207,1142,298476
202207,229,298705
202207,83,298788
202207,58,298846
202207,142,298988
202207,670,299658
202207,2,299660
202207,2,299662
202207,5,299667
202207,1,299668
202207,2,299670
202207,268,299938
202207,539,300477
202207,864,301341
202207,547,301888
202207,68,301956
202207,292,302248
202207,323,302571
202207,1278,303849
202207,80,303929
202207,1,303930
202207,2309,306239
202207,97,306336
202208,49,306385
202208,247,306632
202208,134,306766
202208,18,306784
202208,1,306785
202208,5691,312476
202208,2,312478
202208,1,312479
202208,2,312481
202208,23,312504
202208,1,312505
202208,130,312635
202208,146,312781
202208,1,312782
202208,2,312784
202208,29,312813
202208,2,312815
202208,3,312818
202208,5,312823
202208,11,312834
202208,10,312844
202208,110,312954
202208,83,313037
202208,205,313242
202208,813,314055
202208,52,314107
202208,1099,315206
202208,6,315212
202208,58,315270
202208,84,315354
202208,1,315355
202208,790,316145
202208,57,316202
202208,26,316228
202208,2,316230
202208,1309,317539
202208,78,317617
202208,116,317733
202208,55,317788
202208,14,317802
202208,2,317804
202208,97,317901
202208,29,317930
202208,109,318039
202208,7,318046
202208,1,318047
202208,169,318216
202208,133,318349
202208,1,318350
202208,1,318351
202208,23,318374
202208,8,318382
202208,11,318393
202208,52,318445
202208,515,318960
202208,1,318961
202208,3,318964
202208,92,319056
202208,354,319410
202208,7,319417
