year_month,quantidade_autos,cumulative_tickets,previous_tickets,diff_by_period
202106,138,93883,93745,138
202106,536,94419,93883,536
202106,1744,96163,94419,1744
202106,702,96865,96163,702
202106,415,97280,96865,415
202106,962,98242,97280,962
202106,174,98416,98242,174
202107,2,98418,98416,2
202107,14,98432,98418,14
202107,161,98593,98432,161
202107,425,99018,98593,425
202107,2077,101095,99018,2077
202107,108,101203,101095,108
202107,561,101764,101203,561
202107,223,101987,101764,223
202107,4,101991,101987,4
202107,254,102245,101991,254
202107,317,102562,102245,317
202107,112,102674,102562,112
202107,832,103506,102674,832
202107,4,103510,103506,4
202107,1,103511,103510,1
202107,798,104309,103511,798
202107,63,104372,104309,63
202107,328,104700,104372,328
202107,56,104756,104700,56
202107,1023,105779,104756,1023
202107,3,105782,105779,3
202107,63,105845,105782,63
202107,670,106515,105845,670
202107,1,106516,106515,1
202107,1564,108080,106516,1564
202107,102,108182,108080,102
202107,5,108187,108182,5
202107,257,108444,108187,257
202107,5205,113649,108444,5205
202107,437,114086,113649,437
202107,128,114214,114086,128
202107,77,114291,114214,77
202107,316,114607,114291,316
202107,137,114744,114607,137
202107,212,114956,114744,212
202107,1,114957,114956,1
202107,7,114964,114957,7
202107,1,114965,114964,1
202107,86,115051,114965,86
202107,204,115255,115051,204
202107,1,115256,115255,1
202108,443,115699,115256,443
202108,130,115829,115699,130
202108,1,115830,115829,1
202108,2,115832,115830,2
202108,1853,117685,115832,1853
202108,144,117829,117685,144
202108,1614,119443,117829,1614
202108,350,119793,119443,350
202108,561,120354,119793,561
202108,4,120358,120354,4
202108,247,120605,120358,247
202108,13,120618,120605,13
202108,4143,124761,120618,4143
202108,148,124909,124761,148
202108,1,124910,124909,1
202108,260,125170,124910,260
202108,81,125251,125170,81
202108,1697,126948,125251,1697
202108,6,126954,126948,6
202108,2,126956,126954,2
202108,20,126976,126956,20
202108,1,126977,126976,1
202108,2,126979,126977,2
202108,930,127909,126979,930
202108,7,127916,127909,7
202108,458,128374,127916,458
202108,476,128850,128374,476
202108,46,128896,128850,46
202108,107,129003,128896,107
202108,1628,130631,129003,1628
202108,151,130782,130631,151
202108,2,130784,130782,2
202108,403,131187,130784,403
202108,209,131396,131187,209
202108,87,131483,131396,87
202108,183,131666,131483,183
202108,62,131728,131666,62
202108,65,131793,131728,65
202108,47,131840,131793,47
202108,616,132456,131840,616
202108,194,132650,132456,194
202108,72,132722,132650,72
202108,97,132819,132722,97
202109,347,133166,132819,347
202109,456,133622,133166,456
202109,1894,135516,133622,1894
202109,1446,136962,135516,1446
202109,287,137249,136962,287
202109,1,137250,137249,1
202109,4,137254,137250,4
202109,2301,139555,137254,2301
202109,358,139913,139555,358
202109,260,140173,139913,260
202109,30,140203,140173,30
202109,643,140846,140203,643
202109,2,140848,140846,2
202109,1723,142571,140848,1723
202109,1,142572,142571,1
202109,160,142732,142572,160
202109,86,142818,142732,86
202109,26,142844,142818,26
202109,461,143305,142844,461
202109,91,143396,143305,91
202109,114,143510,143396,114
202109,213,143723,143510,213
202109,143,143866,143723,143
202109,51,143917,143866,51
202109,4,143921,143917,4
202109,134,144055,143921,134
202109,162,144217,144055,162
202109,735,144952,144217,735
202109,54,145006,144952,54
202109,1,145007,145006,1
202109,2,145009,145007,2
202109,8,145017,145009,8
202109,74,145091,145017,74
202109,3363,148454,145091,3363
202109,4811,153265,148454,4811
202109,65,153330,153265,65
202109,43,153373,153330,43
202109,2,153375,153373,2
202109,70,153445,153375,70
202109,434,153879,153445,434
202110,461,154340,153879,461
202110,109,154449,154340,109
202110,3,154452,154449,3
202110,102,154554,154452,102
202110,60,154614,154554,60
202110,1858,156472,154614,1858
202110,235,156707,156472,235
202110,1713,158420,156707,1713
202110,455,158875,158420,455
202110,72,158947,158875,72
202110,326,159273,158947,326
202110,36,159309,159273,36
202110,164,159473,159309,164
202110,1,159474,159473,1
202110,622,160096,159474,622
202110,76,160172,160096,76
202110,63,160235,160172,63
202110,39,160274,160235,39
202110,1303,161577,160274,1303
202110,148,161725,161577,148
202110,58,161783,161725,58
202110,3782,165565,161783,3782
202110,123,165688,165565,123
202110,1964,167652,165688,1964
202110,7,167659,167652,7
202110,88,167747,167659,88
202110,141,167888,167747,141
202110,317,168205,167888,317
202110,362,168567,168205,362
202110,279,168846,168567,279
202110,251,169097,168846,251
202110,345,169442,169097,345
202110,1442,170884,169442,1442
202110,2,170886,170884,2
202110,2,170888,170886,2
202110,1,170889,170888,1
202110,31,170920,170889,31
202111,1740,172660,170920,1740
202111,1,172661,172660,1
202111,193,172854,172661,193
202111,12,172866,172854,12
202111,1260,174126,172866,1260
202111,711,174837,174126,711
202111,234,175071,174837,234
202111,411,175482,175071,411
202111,287,175769,175482,287
202111,99,175868,175769,99
202111,40,175908,175868,40
202111,169,176077,175908,169
202111,143,176220,176077,143
202111,4,176224,176220,4
202111,49,176273,176224,49
202111,58,176331,176273,58
202111,101,176432,176331,101
202111,124,176556,176432,124
202111,157,176713,176556,157
202111,257,176970,176713,257
202111,193,177163,176970,193
202111,195,177358,177163,195
202111,1,177359,177358,1
202111,6,177365,177359,6
202111,2093,179458,177365,2093
202111,171,179629,179458,171
202111,64,179693,179629,64
202111,190,179883,179693,190
202111,724,180607,179883,724
202111,169,180776,180607,169
202111,57,180833,180776,57
202111,256,181089,180833,256
202111,94,181183,181089,94
202111,5,181188,181183,5
202111,4392,185580,181188,4392
202111,1,185581,185580,1
202111,4,185585,185581,4
202111,1,185586,185585,1
202111,46,185632,185586,46
202111,201,185833,185632,201
202111,292,186125,185833,292
202112,197,186322,186125,197
202112,149,186471,186322,149
202112,176,186647,186471,176
202112,160,186807,186647,160
202112,232,187039,186807,232
202112,609,187648,187039,609
202112,5,187653,187648,5
202112,1,187654,187653,1
202112,851,188505,187654,851
202112,1,188506,188505,1
202112,72,188578,188506,72
202112,1,188579,188578,1
202112,149,188728,188579,149
202112,380,189108,188728,380
202112,49,189157,189108,49
202112,330,189487,189157,330
202112,124,189611,189487,124
202112,1,189612,189611,1
202112,136,189748,189612,136
202112,272,190020,189748,272
202112,31,190051,190020,31
202112,23,190074,190051,23
202112,711,190785,190074,711
202112,441,191226,190785,441
202112,103,191329,191226,103
202112,151,191480,191329,151
202112,77,191557,191480,77
202112,194,191751,191557,194
202112,1,191752,191751,1
202112,1,191753,191752,1
202112,1,191754,191753,1
202112,205,191959,191754,205
202112,177,192136,191959,177
202112,1,192137,192136,1
202112,112,192249,192137,112
202112,320,192569,192249,320
202112,374,192943,192569,374
202112,3099,196042,192943,3099
202112,637,196679,196042,637
202112,1021,197700,196679,1021
202112,4,197704,197700,4
202112,131,197835,197704,131
202112,192,198027,197835,192
202201,96,198123,198027,96
202201,22,198145,198123,22
202201,10,198155,198145,10
202201,136,198291,198155,136
202201,2,198293,198291,2
202201,26,198319,198293,26
202201,1,198320,198319,1
202201,678,198998,198320,678
202201,159,199157,198998,159
202201,221,199378,199157,221
202201,224,199602,199378,224
202201,99,199701,199602,99
202201,330,200031,199701,330
202201,748,200779,200031,748
202201,236,201015,200779,236
202201,238,201253,201015,238
202201,29,201282,201253,29
202201,7,201289,201282,7
202201,25,201314,201289,25
202201,803,202117,201314,803
202201,172,202289,202117,172
202201,3,202292,202289,3
202201,103,202395,202292,103
202201,353,202748,202395,353
202201,372,203120,202748,372
202201,44,203164,203120,44
202201,754,203918,203164,754
202201,136,204054,203918,136
202201,126,204180,204054,126
202201,353,204533,204180,353
202201,459,204992,204533,459
202201,677,205669,204992,677
202201,1,205670,205669,1
202201,51,205721,205670,51
202201,899,206620,205721,899
202201,71,206691,206620,71
202201,2022,208713,206691,2022
202201,4,208717,208713,4
202202,60,208777,208717,60
202202,2,208779,208777,2
202202,2,208781,208779,2
202202,617,209398,208781,617
202202,787,210185,209398,787
202202,415,210600,210185,415
202202,126,210726,210600,126
202202,1600,212326,210726,1600
202202,3163,215489,212326,3163
202202,463,215952,215489,463
202202,459,216411,215952,459
202202,292,216703,216411,292
202202,51,216754,216703,51
202202,434,217188,216754,434
202202,63,217251,217188,63
202202,799,218050,217251,799
202202,12,218062,218050,12
202202,2,218064,218062,2
202202,364,218428,218064,364
202202,96,218524,218428,96
202202,319,218843,218524,319
202202,75,218918,218843,75
202202,770,219688,218918,770
202202,241,219929,219688,241
202202,222,220151,219929,222
202202,135,220286,220151,135
202202,296,220582,220286,296
202202,189,220771,220582,189
202202,112,220883,220771,112
202202,2939,223822,220883,2939
202202,840,224662,223822,840
202202,1,224663,224662,1
202202,5,224668,224663,5
202202,2,224670,224668,2
202203,3,224673,224670,3
202203,135,224808,224673,135
202203,2,224810,224808,2
202203,154,224964,224810,154
202203,2305,227269,224964,2305
202203,2435,229704,227269,2435
202203,1,229705,229704,1
202203,4,229709,229705,4
202203,264,229973,229709,264
202203,986,230959,229973,986
202203,155,231114,230959,155
202203,607,231721,231114,607
202203,337,232058,231721,337
202203,840,232898,232058,840
202203,442,233340,232898,442
202203,2,233342,233340,2
202203,78,233420,233342,78
202203,128,233548,233420,128
202203,67,233615,233548,67
202203,13,233628,233615,13
202203,1436,235064,233628,1436
202203,1568,236632,235064,1568
202203,352,236984,236632,352
202203,414,237398,236984,414
202203,438,237836,237398,438
202203,108,237944,237836,108
202203,1206,239150,237944,1206
202203,351,239501,239150,351
202203,90,239591,239501,90
202203,80,239671,239591,80
202203,1,239672,239671,1
202203,3,239675,239672,3
202203,1,239676,239675,1
202203,290,239966,239676,290
202203,1029,240995,239966,1029
202203,65,241060,240995,65
202203,502,241562,241060,502
202203,22,241584,241562,22
202204,2902,244486,241584,2902
202204,1626,246112,244486,1626
202204,1,246113,246112,1
202204,283,246396,246113,283
202204,835,247231,246396,835
202204,629,247860,247231,629
202204,281,248141,247860,281
202204,123,248264,248141,123
202204,101,248365,248264,101
202204,1224,249589,248365,1224
202204,2,249591,249589,2
202204,92,249683,249591,92
202204,92,249775,249683,92
202204,78,249853,249775,78
202204,300,250153,249853,300
202204,414,250567,250153,414
202204,10,250577,250567,10
202204,241,250818,250577,241
202204,36,250854,250818,36
202204,1,250855,250854,1
202204,4,250859,250855,4
202204,3,250862,250859,3
202204,3804,254666,250862,3804
202204,84,254750,254666,84
202204,223,254973,254750,223
202204,51,255024,254973,51
202204,905,255929,255024,905
202204,180,256109,255929,180
202204,246,256355,256109,246
202204,452,256807,256355,452
202204,44,256851,256807,44
202204,87,256938,256851,87
202204,258,257196,256938,258
202204,68,257264,257196,68
202204,10,257274,257264,10
202204,1249,258523,257274,1249
202204,1,258524,258523,1
202204,1,258525,258524,1
202204,453,258978,258525,453
202205,2,258980,258978,2
202205,1206,260186,258980,1206
202205,1416,261602,260186,1416
202205,160,261762,261602,160
202205,69,261831,261762,69
202205,434,262265,261831,434
202205,912,263177,262265,912
202205,349,263526,263177,349
202205,2,263528,263526,2
202205,1,263529,263528,1
202205,246,263775,263529,246
202205,356,264131,263775,356
202205,270,264401,264131,270
202205,899,265300,264401,899
202205,89,265389,265300,89
202205,420,265809,265389,420
202205,214,266023,265809,214
202205,90,266113,266023,90
202205,137,266250,266113,137
202205,470,266720,266250,470
202205,4,266724,266720,4
